City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Torres,BR,2021-09-22 21:18:55,-29.3353,-49.7269,60.82,70,35,9.42
114,Aloleng,PH,2021-09-22 21:18:56,16.1307,119.7824,80.11,84,76,5.95
115,Clyde River,CA,2021-09-22 21:18:56,70.4692,-68.5914,30.43,93,90,14.97
116,Hithadhoo,MV,2021-09-22 21:18:56,-0.6,73.0833,82.24,74,100,18.68
117,Sola,VU,2021-09-22 21:18:57,-13.8833,167.55,75.87,94,90,5.75
118,Cidreira,BR,2021-09-22 21:18:57,-30.1811,-50.2056,62.29,70,11,15.35
119,Zhangye,CN,2021-09-22 21:18:58,38.9342,100.4517,63.41,43,29,6.78
120,Norrtalje,SE,2021-09-22 21:18:58,59.758,18.705,55.02,92,63,10.51
121,Narsaq,GL,2021-09-22 21:18:58,60.9167,-46.05,37.62,86,100,3.83
122,Zhigansk,RU,2021-09-22 21:19:00,66.7697,123.3711,41.81,86,100,12.57
123,Anjangaon,IN,2021-09-22 21:19:00,21.1631,77.3094,75.99,90,100,4.63
124,Mahajanga,MG,2021-09-22 21:19:01,-15.7167,46.3167,73.42,83,20,4.61
125,Vanderhoof,CA,2021-09-22 21:19:01,54.0166,-124.0198,63.55,28,47,14.81
126,Te Anau,NZ,2021-09-22 21:19:02,-45.4167,167.7167,45.36,79,14,1.39
127,Skwierzyna,PL,2021-09-22 21:19:03,52.5991,15.5065,56.08,74,100,5.68
128,Szczytno,PL,2021-09-22 21:19:03,53.5626,20.9875,48.13,100,0,3.44
129,Zhaozhou,CN,2021-09-22 21:19:04,45.6833,125.3167,53.04,93,100,7.09
130,Port Antonio,JM,2021-09-22 21:19:04,18.18,-76.4612,87.71,73,100,3.36
131,Quatre Cocos,MU,2021-09-22 21:19:05,-20.2078,57.7625,70.09,77,35,12.12
132,Kapaa,US,2021-09-22 21:19:05,22.0752,-159.319,84.18,71,75,1.01
133,Rangapara,IN,2021-09-22 21:19:05,26.8167,92.65,73.71,91,51,3.0
134,Linxia,CN,2021-09-22 21:19:07,35.6003,103.2064,53.22,69,17,4.59
135,Leningradskiy,RU,2021-09-22 21:19:08,69.3833,178.4167,22.24,72,93,6.46
136,Hofn,IS,2021-09-22 21:19:08,64.2539,-15.2082,41.63,56,38,16.55
137,Torbay,CA,2021-09-22 21:15:05,47.6666,-52.7314,68.76,64,100,12.08
138,Bilibino,RU,2021-09-22 21:19:09,68.0546,166.4372,28.81,85,100,2.82
139,Tahoua,NE,2021-09-22 21:19:09,14.8888,5.2692,82.38,61,0,9.22
140,Constitucion,CL,2021-09-22 21:19:09,-35.3333,-72.4167,56.39,69,5,11.88
141,Tuatapere,NZ,2021-09-22 21:19:10,-46.1333,167.6833,46.81,68,12,4.03
142,Teknaf,BD,2021-09-22 21:19:11,20.8624,92.3058,77.5,89,100,2.44
143,Plettenberg Bay,ZA,2021-09-22 21:19:12,-34.0527,23.3716,62.26,56,100,5.14
144,Klaksvik,FO,2021-09-22 21:19:12,62.2266,-6.589,49.12,82,98,21.94
145,Isangel,VU,2021-09-22 21:19:13,-19.55,169.2667,77.11,94,90,0.0
146,Santa Cruz De La Palma,ES,2021-09-22 21:19:13,28.6835,-17.7642,75.34,69,75,10.36
147,Svirsk,RU,2021-09-22 21:19:14,53.0858,103.3325,35.01,88,15,1.1
148,Sarakhs,IR,2021-09-22 21:19:14,36.5449,61.1577,68.14,22,0,0.0
149,Yulara,AU,2021-09-22 21:19:14,-25.2406,130.9889,40.84,48,99,3.44
150,San Patricio,US,2021-09-22 21:19:15,28.017,-97.5169,88.21,21,31,13.87
151,Yeppoon,AU,2021-09-22 21:19:16,-23.1333,150.7333,56.98,75,41,7.16
152,Vila Velha,BR,2021-09-22 21:19:16,-20.3297,-40.2925,71.55,60,75,18.41
153,Kaitangata,NZ,2021-09-22 21:19:17,-46.2817,169.8464,48.99,60,3,5.86
154,Alice Springs,AU,2021-09-22 21:19:18,-23.7,133.8833,44.15,39,2,0.0
155,Batsfjord,NO,2021-09-22 21:19:18,70.6345,29.7185,48.13,65,40,28.77
156,Numan,NG,2021-09-22 21:19:18,9.4667,12.0333,71.04,97,100,2.39
157,Geraldton,AU,2021-09-22 21:19:19,-28.7667,114.6,45.01,76,0,6.91
158,Baymak,RU,2021-09-22 21:19:20,52.5933,58.3225,43.77,56,100,2.3
159,Oktyabrskiy,RU,2021-09-22 21:19:20,54.4815,53.471,48.79,88,100,5.12
160,Tabuk,PH,2021-09-22 21:19:20,17.4189,121.4443,73.2,92,65,2.3
161,Karaton,ID,2021-09-22 21:19:21,-6.3424,106.1045,77.16,90,87,1.7
162,Kavieng,PG,2021-09-22 21:19:21,-2.5744,150.7967,80.49,80,100,13.29
163,Pacific Grove,US,2021-09-22 21:19:21,36.6177,-121.9166,90.63,80,1,8.99
164,Duvan,RU,2021-09-22 21:19:22,55.695,57.9024,37.38,83,16,3.89
165,Tim,RU,2021-09-22 21:19:22,51.6222,37.1244,45.72,92,100,5.08
166,Si Racha,TH,2021-09-22 21:19:23,13.1737,100.9311,80.65,87,100,9.04
