City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
71,Castrillon,ES,64.94,overcast clouds,43.3979,-6.7922,HR PALACIO DE PRELO 4 estrellas
73,Bredasdorp,ZA,81.72,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
74,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
76,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
78,Russell,US,70.92,scattered clouds,32.3502,-85.1999,Macs
79,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
81,Marsa Matruh,EG,75.72,clear sky,31.3525,27.2453,Beau Site
82,Puro,PH,81.19,broken clouds,12.4841,123.3827,
87,Hun,LY,88.39,clear sky,29.1268,15.9477,Alrwasi Hotel
90,Alta Floresta,BR,87.62,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
91,Gat,IL,84.4,clear sky,31.61,34.7642,OlusHome
92,Ponta Do Sol,PT,78.01,overcast clouds,32.6667,-17.1,Hotel do Campo
93,Chuy,UY,62.02,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
94,Lata,PT,75.34,overcast clouds,40.1629,-8.3327,Casa Maquia
95,Vinh,VN,76.89,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
98,Banda Aceh,ID,80.92,scattered clouds,5.5577,95.3222,Sulthan Hotel International
99,Poum,NC,71.42,overcast clouds,-20.2333,164.0167,Gîte kajeon
101,Butaritari,KI,83.23,broken clouds,3.0707,172.7902,Isles Sunset Lodge
103,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
104,Mitu,CO,73.85,overcast clouds,1.1983,-70.1733,
106,Matay,EG,88.84,clear sky,28.419,30.7792,Nag Aespen
107,Vadlapudi,IN,88.41,overcast clouds,14.3167,79.8,
109,Leua,SK,77.5,clear sky,48.2156,18.6071,Business Hotel ASTRUM Laus
110,Horqueta,PY,87.73,clear sky,-23.3428,-57.0597,Hospedaje Heina
112,Muros,ES,72.99,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
114,Alexandria,EG,76.35,clear sky,31.2156,29.9553,Royal Crown Hotel
118,Huarmey,PE,66.47,overcast clouds,-10.0681,-78.1522,Hotel Miramar
119,Bethel,US,69.93,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
124,Todos Santos,MX,83.01,clear sky,23.45,-110.2167,Hotel California Todos Santos
125,Hunenberg,CH,80.73,scattered clouds,47.1754,8.425,APARTHOTEL - Welcoming l Urban Feel l Design
126,Duncan,US,69.39,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
127,La Huerta,MX,73.51,broken clouds,19.4667,-104.65,HOTEL REAL ASTURIAS
129,Tura,IN,75.87,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
131,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
136,Kopanskaya,RU,61.7,clear sky,46.2779,38.4795,
137,Longkou,CN,69.78,moderate rain,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
139,Hamilton,US,61.43,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
140,Kununurra,AU,69.78,clear sky,-15.7667,128.7333,Hotel Kununurra
141,Sambava,MG,73.98,clear sky,-14.2667,50.1667,Melrose
142,San Patricio,US,80.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
143,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
149,Carnarvon,AU,66.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
151,Roma,US,66.4,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
155,Lagoa Formosa,BR,84.02,overcast clouds,-18.7786,-46.4075,Lagoa Hotel
156,Cabo San Lucas,MX,83.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
157,Cockburn Town,TC,82.29,clear sky,21.4612,-71.1419,Osprey Beach Hotel
160,Veliki Preslav,BG,78.15,clear sky,43.1667,26.8167,семеен хотел Преслав
161,Harindanga,IN,85.98,overcast clouds,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
